,all,cluster_tokens,cluster_No,Clu_name
0,"['новость', 'сегодня', 'знать', 'ребенок', 'говорить', 'хороший', 'смотреть', 'делать', 'сказать', 'думать', 'ждать', 'приходить', 'пойти', 'вообще', 'посмотреть', 'гулять', 'корона', 'становиться', 'бояться', 'семья', 'фильм', 'уходить', 'короновирус', 'последний', 'шутка', 'далеко', 'мало', 'видеть', 'слово', 'назад', 'канал', 'плохо', 'плохой', 'интересный', 'написать', 'зараза', 'казаться', 'завтра', 'мама', 'событие', 'весна', 'родитель', 'забирать', 'черный', 'мозг', 'спрашивать', 'сериал', 'год', 'вывод', 'время']","['исчезать', 'наблюдать', 'обычный', 'делать', 'выживать', 'желать', 'быстро', 'решать', 'научаться', 'лично', 'сказать', 'интересно', 'далеко', 'момент', 'выглядеть', 'правильно', 'бывать', 'надеяться', 'страх', 'серьезно', 'заставлять', 'видеть', 'невозможно', 'доходить', 'идти', 'пропадать', 'давно', 'завтра', 'думать', 'ждать', 'вообще', 'понимать', 'шутка', 'точно', 'поэтому', 'придумывать', 'рано', 'понятно', 'внезапно', 'близкий', 'вещь', 'гробить', 'где-то', 'просто', 'сразу', 'недовольный', 'ясно', 'подумать', 'простой', 'сегодня', 'сколько', 'итог', 'стоять', 'забывать', 'фигня', 'тупой', 'виноватый', 'привычный', 'начинать', 'тревога', 'смочь', 'голодный', 'ощущение', 'значить', 'происходить', 'сожаление', 'умный', 'чувствовать', 'пора', 'подходить', 'переживать', 'похоже', 'бояться', 'смысл', 'снова', 'реальность', 'убивать', 'уставать', 'нормальный', 'хороший', 'приходиться', 'наоборот', 'черт', 'чуть-чуть', 'окончательно', 'паника', 'глаз', 'скоро', 'смешной', 'уверенный', 'сначала', 'россиянин', 'рука', 'че', 'вовремя', 'абсолютно', 'стоить', 'беда', 'куча', 'ошибаться', 'очень', 'кстати', 'нужно', 'маленький', 'опасно', 'настроение', 'поменять', 'голод', 'продолжать', 'нужный', 'белорус', 'сильно', 'время', 'пытаться', 'пиздец', 'дело', 'редко', 'возможно', 'хозяин', 'паниковать', 'откуда', 'главное', 'смотреть', 'зараза', 'страшно', 'хотеть', 'везде', 'плюс', 'плохо', 'получаться', 'посмотреть', 'голова', 'верить', 'удаваться', 'плохой', 'страшный', 'прежний', 'долго', 'насколько', 'говорить', 'жопа', 'осознавать', 'блять', 'итальянец', 'корона', 'заложник', 'хотеться', 'давать', 'сука', 'целый', 'становиться', 'увидеть', 'ум', 'значит', 'логика', 'назад', 'слушать', 'часто', 'природа', 'держаться', 'мочь', 'пойти', 'постепенно', 'мало', 'правда', 'настолько', 'замечать', 'планета', 'почему', 'знать', 'народ', 'жизнь', 'китаец', 'казаться', 'мир', 'короче', 'равный', 'гораздо', 'действительно', 'немного', 'особенно', 'параллельный', 'надоедать']",9,"Sensations: fear, panic, etc."
1,"['предлагать', 'бизнес', 'месяц', 'деньги', 'рубль', 'экономика', 'поддержка', 'миллион', 'последствие', 'штраф', 'трамп', 'сша', 'год', 'выделять', 'нарушение', 'взять', 'средний', 'ответственность', 'рынок', 'малый', 'банк', 'кризис', 'кредит', 'компания', 'млрд', 'свобода', 'получать', 'налог', 'доллар', 'вносить', 'больничный', 'признавать', 'потеря', 'фонд', 'сотня', 'размер', 'госдума', 'потерять', 'оплата', 'владелец', 'предложение', 'правительство', 'период', 'руб', 'наказывать', 'падение', 'дональд', 'процент', 'вклад', 'отсрочка']","['невыплата', 'оплата', 'обслуживание', 'клиент', 'малый', 'отпуск', 'тенге', 'сбербанк', 'авиакомпания', 'предприятие', 'арендный', 'работник', 'взыскание', 'отсрочка', 'оплачивать', 'абонемент', 'зарабатывать', 'налог', 'ставка', 'кредитный', 'размер', 'кредит', 'увольнять', 'аренда', 'тариф', 'руб', 'зарплата', 'заработный', 'бизнесмен', 'выручка', 'работодатель', 'безработный', 'услуга', 'потратить', 'жидомор', 'каникулы', 'пожизненный', 'бюджетный', 'жкх', 'заплатить', 'пособие', 'предложение', 'платить', 'надбавка', 'мигрант', 'льгота', 'жилье', 'нерабочий', 'выплата', 'платеж', 'реновация', 'труд', 'частный', 'субсидия', 'доплата', 'работа', 'расход', 'риэлтор', 'временно', 'деньги', 'предлагать', 'поддержка', 'банк', 'рабочий', 'арендодатель', 'рубль', 'евро', 'гривна', 'плата', 'выплачивать', 'рассчитывать', 'предприниматель', 'дивиденд', 'арендатор', 'доход', 'бюджет', 'обещать', 'налоговый', 'владелец']",21,Financial aid & Credit offers
2,"['закрывать', 'март', 'россия', 'граница', 'гражданин', 'центр', 'рф', 'страна', 'также', 'петербург', 'вернуться', 'запрещать', 'решение', 'апрель', 'место', 'правительство', 'принимать', 'ограничивать', 'закрываться', 'домой', 'массовый', 'отменять', 'полностью', 'приостанавливать', 'прекращать', 'турист', 'украинец', 'рейс', 'рекомендовать', 'временно', 'въезд', 'источник', 'сегодняшний', 'кинотеатр', 'поездка', 'клуб', 'польша', 'ресторан', 'власть', 'рубеж', 'прием', 'чечня', 'кафе', 'регион', 'торговый', 'мид', 'город', 'столичный', 'украина', 'кабмин']","['европа', 'франция', 'британия', 'таджикистан', 'кндр', 'канада', 'иран', 'провинция', 'эстония', 'королевство', 'сербия', 'ирландия', 'беларусь', 'кубинский', 'украинец', 'испания', 'южный', 'колумбия', 'ес', 'прибывать', 'швеция', 'сирия', 'саудовский', 'австрия', 'республика', 'европейский', 'нидерланды', 'куба', 'турция', 'монголия', 'латинский', 'заробитчанин', 'рубеж', 'грузия', 'страна', 'северный', 'словакия', 'азербайджан', 'азия', 'север', 'китай', 'великобритания', 'лондон', 'латвия', 'кипр', 'германия', 'нато', 'индийский', 'африка', 'авианосец', 'япония', 'корея', 'куб', 'донбасс', 'белоруссия', 'италия', 'украина', 'узбекистан', 'остров', 'финляндия', 'бразилия', 'чехия', 'иностранец', 'кейс', 'бельгия', 'америка', 'кнр', 'россия', 'родина', 'граница', 'армения', 'штат', 'сша', 'индия', 'аравия', 'польша', 'рим']",2,Countries
3,"['читать', 'подробно', 'онлайн', 'сайт', 'интернет', 'статья', 'перенести', 'год', 'школа', 'газета', 'игра', 'ежедневный', 'край', 'дистанционный', 'флудилка', 'олимпийский', 'студент', 'сезон', 'обучение', 'переходить', 'международный', 'бесплатный', 'токио', 'япония', 'правда', 'комитет', 'олимпиада', 'отмена', 'язык', 'проект', 'образование', 'откладывать', 'срок', 'егэ', 'лиманский', 'запускать', 'тема', 'сервис', 'вуз', 'июнь', 'прекрасный', 'краснодарский', 'разговор', 'ожидаться', 'пермский', 'досрочно', 'управление', 'доступ', 'пандемия']","['материал', 'нажимать', 'доклад', 'подписываться', 'russia', 'просмотр', 'опубликовывать', 'мема', 'видео', 'сообщение', 'bloomberg', 'памятка', 'блог', 'вконтакте', 'эдуард', 'опрос', 'york', 'запись', 'роман', 'канал', 'тег', 'издание', 'апр', 'разбор', 'читать', 'чат', 'сводка', 'медиа', 'версия', 'тема', 'популярный', 'интересный', 'stampa', 'произведение', 'реклама', 'портал', 'твиттер', 'дневник', 'клип', 'инфографика', 'конфиденциальность', 'сайт', 'стих', 'прочитывать', 'репост', 'сериал', 'ссылка', 'сеть', 'текст', 'почитать', 'лента', 'post', 'выпуск', 'контент', 'источник', 'по-русски', 'интернет', 'автор', 'книга', 'картинка', 'подписчик', 'челлендж', 'волновой', 'coronavirus', 'отчет', 'твитов', 'тв', 'информация', 'видеоролик', 'лайк', 'психология', 'публикация', 'написать', 'векторный', 'список', 'times', 'статья', 'обзор', 'pro', 'свежий', 'актуальный', 'nature', 'петиция', 'издательство', 'газета', 'сюжет', 'пост', 'la', 'писать', 'ролик', 'новинка', 'ходос', 'инстаграм', 'открытый', 'фейк', 'журнал', 'комментарий', 'раздел', 'вскрываться', 'новость', 'значок', 'серия', 'манифест', 'фото']",16,Information sources
4,"['больница', 'тест', 'пациент', 'результат', 'больной', 'лечение', 'подозрение', 'аппарат', 'анализ', 'коммунарка', 'проходить', 'инфекционный', 'ивл', 'госпитализировать', 'состояние', 'женщина', 'лещенко', 'врач', 'находиться', 'препарат', 'лаборатория', 'положительный', 'лев', 'форма', 'легкий', 'сообщать', 'диагноз', 'сдавать', 'экспресс', 'палата', 'легкое', 'устанавливать', 'выписывать', 'госпиталь', 'пневмония', 'исследование', 'тесто', 'смочь', 'диагностика', 'давать', 'строительство', 'лечиться', 'реанимация', 'частный', 'остров', 'интервью', 'проводить', 'искусственный', 'артист', 'главврач']","['легкое', 'инсульт', 'положительный', 'госпитализировать', 'пневмония', 'вскрытие', 'антикоагулянт', 'куршевелец', 'тяжесть', 'пожилой', 'кислород', 'скорый', 'прием', 'болеть', 'ивл', 'мужчина', 'лечить', 'новорожденный', 'сердце', 'болезнь', 'тестировать', 'заболевание', 'реанимационный', 'инфекционный', 'состояние', 'тесто', 'коммунарка', 'отрицательный', 'терапия', 'инфекция', 'перепрофилировать', 'морг', 'врач', 'лечиться', 'внебольничный', 'ковид', 'медсестра', 'протекать', 'стационар', 'джонсон', 'реанимация', 'пациент', 'клинический', 'медперсонал', 'диагноз', 'медик', 'отделение', 'койка', 'кашель', 'палата', 'лечение', 'рак', 'температура', 'выписывать', 'беременный', 'здоровый', 'анализ', 'больничный', 'больной', 'поликлиника', 'вылечивать', 'боль', 'короновирус', 'медработник', 'орит', 'острый', 'пациентка', 'помещать', 'больница', 'переболеть', 'легкий', 'госпиталь', 'симптом', 'признак', 'подозрение', 'тяжелый']",14,Disease Treatment
5,"['дома', 'маска', 'сидеть', 'оставаться', 'друг', 'рука', 'беречь', 'человек', 'температура', 'болеть', 'утро', 'медицинский', 'вечер', 'купить', 'мыть', 'хотеть', 'надеяться', 'скоро', 'спасибо', 'ехать', 'лицо', 'часто', 'рано', 'просить', 'день', 'антисептик', 'держаться', 'носить', 'близкие', 'обычный', 'глаз', 'присоединяться', 'голова', 'давать', 'метр', 'здоровье', 'паниковать', 'стоять', 'тело', 'поверхность', 'кашель', 'перчатка', 'одежда', 'жить', 'добрый', 'сердце', 'сон', 'мыло', 'moscow', 'чистый']","['привет', 'доделывать', 'водитель', 'попросить', 'посещать', 'отправлять', 'родитель', 'дома', 'сходить', 'мальчик', 'заходить', 'отдыхать', 'старый', 'летний', 'приезжать', 'приказывать', 'семья', 'позвонить', 'таксист', 'поехать', 'ребенок', 'пускать', 'ходить', 'сжигать', 'ребята', 'ночь', 'изнасиловать', 'бабка', 'собираться', 'вечер', 'пожаловаться', 'отец', 'коллега', 'знакомый', 'спасибо', 'сын', 'трудиться', 'оставлять', 'вместе', 'отправляться', 'отпускать', 'узнавать', 'квартира', 'женщина', 'дорогой', 'муж', 'жена', 'близкие', 'возвращаться', 'позаботиться', 'ехать', 'прийти', 'благодарить', 'дочь', 'общение', 'инвалид', 'сестра', 'выходить', 'петербуржец', 'надевать', 'забирать', 'прилетать', 'гулять', 'ветеран', 'родной', 'мать', 'самоизолироваться', 'мент', 'сидеть', 'записывать', 'ездить', 'проживать', 'родственник', 'мыть', 'друг', 'гость', 'волонтер', 'приходить', 'встречать', 'трогать', 'рад', 'повезти', 'парень', 'звонить', 'одинокий', 'жить', 'беречь', 'просить', 'дождаться', 'папа', 'спрашивать', 'дом', 'звать', 'полицай', 'работать', 'сдавать', 'уходить', 'младший', 'утро', 'девушка', 'советовать', 'посоветовать', 'побывать', 'пенсионер', 'домой', 'мама', 'таджик', 'вернуться']",4,Socialization
6,"['инфекция', 'коронавирусный', 'распространение', 'глава', 'рассказывать', 'заявлять', 'здравоохранение', 'информация', 'министр', 'организация', 'сообщать', 'великобритания', 'воз', 'совет', 'принц', 'главный', 'рекомендация', 'борис', 'обнаруживать', 'профилактика', 'алматы', 'украина', 'премьер-министр', 'джонсон', 'чарльз', 'депутат', 'карта', 'ситуация', 'минздрав', 'обсуждать', 'связывать', 'заседание', 'заявление', 'проводить', 'штаб', 'вопрос', 'британия', 'федеральный', 'премьер', 'всемирный', 'руководство', 'султан', 'александр', 'пандемия', 'дело', 'михаил', 'лондон', 'брифинг', 'удаваться', 'адам']","['песков', 'владимирович', 'верховный', 'тасс', 'лещенко', 'заместитель', 'вос', 'мишустин', 'моз', 'заклад', 'рада', 'мальцев', 'премьер', 'академик', 'председатель', 'сергей', 'кадыров', 'белоусов', 'бурков', 'кпрф', 'петербургский', 'директор', 'г-н', 'шендерович', 'news', 'степанов', 'риа', 'иван', 'проценко', 'весть', 'сбу', 'интервью', 'главврач', 'дума', 'минкультуры', 'шаман', 'дмитрий', 'пушкин', 'fox', 'навка', 'forbes', 'премьера', 'белецкий', 'редактор', 'г-жа', 'светлана', 'гуриев', 'ефимов', 'генри', 'елена', 'следователь', 'глава', 'илья', 'илона', 'марина', 'ольга', 'замглавы', 'навальный', 'новак', 'медведев', 'вице-премьер', 'основатель', 'габышев', 'бывший', 'артист', 'никита', 'земляк', 'премьер-министр', 'кличко', 'черкассы', 'денис', 'госдума', 'мария', 'пресс-центр', 'павел', 'шахов', 'корреспондент', 'ран', 'известие', 'вип', 'супрун', 'виталий', 'психолог', 'елизавета', 'односельчанин', 'юрист', 'оксана', 'april', 'вячеслав', 'журналист', 'шмыгаль', 'александра', 'соловьев', 'оп', 'ирина', 'актриса', 'имя', 'песок', 'уткин', 'рамзан', 'смольный', 'рошаль', 'андрей', 'александр', 'тарасова', 'гончаров', 'владимир', 'соболь', 'куйвашев', 'собчак', 'михаил', 'пресс-секретарь', 'принц', 'бабушкин', 'володин', 'брифинг', 'салюк', 'соратник', 'попов', 'борис', 'познер', 'леонид', 'эхо', 'эфир', 'министр', 'любимов', 'лев', 'хорошковский', 'богдан', 'мясников', 'депутат', 'олег', 'певец', 'юрий', 'василий']",7,Politicians and Celebrities
7,"['вирус', 'мочь', 'пандемия', 'жизнь', 'почему', 'мир', 'большой', 'человек', 'происходить', 'германия', 'создавать', 'понимать', 'побеждать', 'вопрос', 'становиться', 'спасать', 'разрабатывать', 'иметь', 'проблема', 'мировой', 'европа', 'фейк', 'земля', 'интересно', 'ученый', 'система', 'жить', 'население', 'опасный', 'паника', 'планета', 'риск', 'вызывать', 'вакцина', 'сколько', 'пора', 'война', 'особенно', 'быстро', 'возможно', 'группа', 'высокий', 'ответ', 'справляться', 'американский', 'природа', 'факт', 'эпидемия', 'мышь', 'политика']","['исчезать', 'наблюдать', 'обычный', 'делать', 'выживать', 'желать', 'быстро', 'решать', 'научаться', 'лично', 'сказать', 'интересно', 'далеко', 'момент', 'выглядеть', 'правильно', 'бывать', 'надеяться', 'страх', 'серьезно', 'заставлять', 'видеть', 'невозможно', 'доходить', 'идти', 'пропадать', 'давно', 'завтра', 'думать', 'ждать', 'вообще', 'понимать', 'шутка', 'точно', 'поэтому', 'придумывать', 'рано', 'понятно', 'внезапно', 'близкий', 'вещь', 'гробить', 'где-то', 'просто', 'сразу', 'недовольный', 'ясно', 'подумать', 'простой', 'сегодня', 'сколько', 'итог', 'стоять', 'забывать', 'фигня', 'тупой', 'виноватый', 'привычный', 'начинать', 'тревога', 'смочь', 'голодный', 'ощущение', 'значить', 'происходить', 'сожаление', 'умный', 'чувствовать', 'пора', 'подходить', 'переживать', 'похоже', 'бояться', 'смысл', 'снова', 'реальность', 'убивать', 'уставать', 'нормальный', 'хороший', 'приходиться', 'наоборот', 'черт', 'чуть-чуть', 'окончательно', 'паника', 'глаз', 'скоро', 'смешной', 'уверенный', 'сначала', 'россиянин', 'рука', 'че', 'вовремя', 'абсолютно', 'стоить', 'беда', 'куча', 'ошибаться', 'очень', 'кстати', 'нужно', 'маленький', 'опасно', 'настроение', 'поменять', 'голод', 'продолжать', 'нужный', 'белорус', 'сильно', 'время', 'пытаться', 'пиздец', 'дело', 'редко', 'возможно', 'хозяин', 'паниковать', 'откуда', 'главное', 'смотреть', 'зараза', 'страшно', 'хотеть', 'везде', 'плюс', 'плохо', 'получаться', 'посмотреть', 'голова', 'верить', 'удаваться', 'плохой', 'страшный', 'прежний', 'долго', 'насколько', 'говорить', 'жопа', 'осознавать', 'блять', 'итальянец', 'корона', 'заложник', 'хотеться', 'давать', 'сука', 'целый', 'становиться', 'увидеть', 'ум', 'значит', 'логика', 'назад', 'слушать', 'часто', 'природа', 'держаться', 'мочь', 'пойти', 'постепенно', 'мало', 'правда', 'настолько', 'замечать', 'планета', 'почему', 'знать', 'народ', 'жизнь', 'китаец', 'казаться', 'мир', 'короче', 'равный', 'гораздо', 'действительно', 'немного', 'особенно', 'параллельный', 'надоедать']",9,"Sensations: fear, panic, etc."
8,"['москва', 'мера', 'режим', 'вводить', 'житель', 'карантин', 'город', 'призывать', 'самоизоляция', 'час', 'фото', 'собянин', 'связь', 'мэр', 'соблюдать', 'пожилой', 'домашний', 'изоляция', 'транспорт', 'ограничение', 'столица', 'чрезвычайный', 'условие', 'сергей', 'карантинный', 'социальный', 'введение', 'общественный', 'московский', 'комендантский', 'правило', 'москвич', 'дополнительный', 'принимать', 'порядок', 'вводиться', 'положение', 'храм', 'видео', 'крым', 'посещение', 'ситуация', 'начинать', 'работа', 'год', 'несмотря', 'март', 'дорога', 'распространение', 'чп']","['перечень', 'карантин', 'поправка', 'гражданин', 'силовик', 'домашний', 'положение', 'житель', 'чп', 'распоряжение', 'общественный', 'фсин', 'комендантский', 'митинг', 'указ', 'вывоз', 'кабмин', 'полиция', 'ношение', 'запрет', 'контроль', 'карательный', 'закон', 'обязанность', 'карантинный', 'полицейский', 'информирование', 'скопление', 'конституционный', 'суд', 'свобода', 'лишение', 'требовать', 'пункт', 'добровольный', 'территория', 'москвич', 'штраф', 'дистанция', 'роспотребнадзор', 'соблюдение', 'обращение', 'правонарушение', 'протест', 'всеобщий', 'право', 'собянин', 'введение', 'выезд', 'ограничение', 'уголовный', 'мероприятие', 'передвижение', 'заключенный', 'лицо', 'инструкция', 'федерация', 'мэр', 'запрещать', 'рекомендация', 'въезд', 'соответствие', 'конституция', 'ограничительный', 'жесткий', 'предосторожность', 'штрафовать', 'ответственность', 'исполнение', 'призыв', 'подчиняться', 'требование', 'нарушение', 'отказ', 'нарушитель', 'эпидемиологический', 'постановление', 'правительство', 'блокировка', 'регион', 'правило', 'административный', 'самоизоляция', 'проверка', 'масочный', 'вводиться', 'резидент', 'безответственно', 'наказывать', 'пропускной', 'рф', 'потребовать', 'носить', 'горожанин', 'рекомендовать', 'ограничивать', 'вводить', 'санитарный', 'мера', 'разрешать', 'коап', 'подписывать', 'преступление', 'насилие', 'нарушать', 'изоляция', 'режим', 'дистанцирование', 'обязывать', 'норма', 'повышенный', 'власть', 'безопасность', 'обязательный', 'призывать', 'посещение', 'губернатор', 'чрезвычайный', 'соблюдать', 'кодекс', 'временный', 'порядок']",5,Measures & Law
9,"['помощь', 'борьба', 'китай', 'италия', 'помогать', 'эпидемия', 'российский', 'средство', 'медик', 'защита', 'ом', 'называть', 'военный', 'врач', 'китайский', 'итальянский', 'производство', 'лидер', 'видео', 'covid', 'бороться', 'часть', 'вместе', 'самолет', 'настоящий', 'начинаться', 'ухань', 'сеть', 'эксперт', 'план', 'защитный', 'глобальный', 'переживать', 'вирусолог', 'решать', 'направлять', 'ес', 'медицинский', 'вспышка', 'призыв', 'оборудование', 'итальянец', 'корея', 'бергамо', 'страна', 'опыт', 'оказывать', 'кофейня', 'замглавы', 'власть']","['ключевой', 'пространство', 'здравоохранение', 'медицина', 'сигнал', 'человеческий', 'быстрый', 'очередь', 'необходимый', 'смена', 'часть', 'отношение', 'вид', 'единственно', 'готовый', 'путь', 'вопрос', 'высокий', 'взгляд', 'борьба', 'обстановка', 'превентивный', 'развитие', 'массовый', 'неэффективный', 'сложный', 'угроза', 'настоящий', 'медицинский', 'вывод', 'образ', 'помощь', 'нынешний', 'современный', 'шаг', 'недостаток', 'процесс', 'изменение', 'необходимо', 'побочный', 'появление', 'наличие', 'точка', 'условие', 'уровень', 'связь', 'искусственный', 'тщательный', 'опасный', 'ответ', 'способ', 'эпидемия', 'отсутствие', 'предотвращение', 'усилие', 'жизненный', 'масштабный', 'польза', 'социальный', 'здоровье', 'недостаточно', 'способный', 'факт', 'единственный', 'ошибка', 'безопасный', 'далее', 'отдельный', 'активность', 'должно', 'пример', 'спасение', 'ядерный', 'замедление', 'разный', 'огромный', 'реализация', 'практика', 'взаимный', 'достаточный', 'сторона', 'план', 'дополнительный', 'полностью', 'контакт', 'чисто', 'распространение', 'например', 'цель', 'следовать', 'проблема', 'системный', 'данный', 'форма', 'также', 'ситуация', 'место', 'причина', 'прямой', 'ответственный', 'серьезный', 'реальный', 'риск', 'решение', 'помогать', 'явление', 'применение', 'защита', 'критически', 'зрение', 'общество', 'эффективный', 'нуждаться', 'влияние', 'сохранение', 'полный', 'зависимость', 'должный', 'различный', 'последствие', 'уязвимый', 'важно', 'усиление', 'система', 'возможность', 'пандемия', 'необходимость', 'опыт', 'принцип', 'вызов', 'вред', 'будущее', 'правильный', 'постсоветский', 'существовать', 'сила', 'трудность', 'возможный', 'полезный', 'вариант', 'ряд', 'важный', 'эффективность']",0,COVID threat & fight
