,all,cluster_tokens,cluster_No,Clu_name
0,"['случай', 'страна', 'число', 'италия', 'умирать', 'количество', 'китай', 'заболевать', 'заражать', 'смерть', 'заражение', 'данные', 'тысяча', 'смертность', 'вирус', 'испания', 'статистика', 'covid', 'сутки', 'март', 'распространение', 'германия', 'эпидемия', 'год', 'население', 'тыс', 'день', 'больной', 'здравоохранение', 'умерший', 'заболевание', 'карантин', 'заражаться', 'составлять', 'выявлять', 'инфицировать', 'выздоравливать', 'новый', 'скончаться', 'мир', 'сша', 'неделя', 'корея', 'южный', 'зарегистрировать', 'цифра', 'провинция', 'россия', 'инфицированный', 'пик']","['ежедневно', 'вылечиваться', 'обгонять', 'миллион', 'заболеваемость', 'скончаться', 'небольшой', 'менее', 'лидировать', 'выявление', 'снижение', 'смерть', 'большой', 'вчерашний', 'подтверждать', 'официальный', 'предыдущий', 'седьмой', 'известно', 'исход', 'протестировать', 'тысяча', 'умирать', 'заражение', 'инфицирование', 'первый', 'увеличиваться', 'тыс', 'отметка', 'число', 'течение', 'москва', 'летальный', 'ом', 'итого', 'нулевой', 'нью-йорк', 'зарегистрировать', 'половина', 'динамика', 'график', 'человек', 'вспышка', 'ежедневный', 'смертность', 'стокгольм', 'данные', 'рекордный', 'третий', 'обнаруживать', 'случай', 'сегодняшний', 'прошедший', 'возрастать', 'область', 'индекс', 'инфицировать', 'нью', 'летальность', 'официально', 'вчера', 'сравнивать', 'погибать', 'догонять', 'общий', 'прогноз', 'выздоравливать', 'заметный', 'коронавирусный', 'труп', 'статистика', 'население', 'тестирование', 'умерший', 'спад', 'пиндостан', 'заражаться', 'сотня', 'бушевать', 'выявлять', 'предел', 'бессимптомный', 'оценка', 'йорк', 'грипп', 'подряд', 'бергамо', 'заболевать', 'результат', 'зафиксировать', 'новый', 'жертва', 'подробно', 'сезонный', 'резкий', 'средний', 'второй', 'пожар', 'превышать', 'сутки', 'количество', 'градус', 'covid', 'последний', 'заражать', 'пиндос', 'эпицентр', 'очаг', 'пик', 'чело', 'процент', 'инфицированный', 'кол', 'впервые', 'достигать', 'американка', 'составлять', 'тест', 'ноль', 'цифра', 'примерный']",8,Death and Infection Stats
1,"['больница', 'врач', 'пациент', 'тест', 'аппарат', 'больной', 'ивл', 'койка', 'палата', 'коммунарка', 'медсестра', 'отделение', 'скорый', 'медицинский', 'анализ', 'медик', 'приезжать', 'персонал', 'принц', 'рассказывать', 'лещенко', 'костюм', 'симптом', 'главврач', 'лечение', 'результат', 'летний', 'сообщать', 'положительный', 'отрицательный', 'лев', 'вернуться', 'подозрение', 'помощь', 'санаторий', 'тяжесть', 'чарльз', 'инфекционист', 'здравоохранение', 'плановый', 'сказать', 'дома', 'помещать', 'реанимационный', 'певец', 'находиться', 'карелия', 'проценко', 'песков', 'день']","['легкое', 'инсульт', 'положительный', 'госпитализировать', 'пневмония', 'вскрытие', 'антикоагулянт', 'куршевелец', 'тяжесть', 'пожилой', 'кислород', 'скорый', 'прием', 'болеть', 'ивл', 'мужчина', 'лечить', 'новорожденный', 'сердце', 'болезнь', 'тестировать', 'заболевание', 'реанимационный', 'инфекционный', 'состояние', 'тесто', 'коммунарка', 'отрицательный', 'терапия', 'инфекция', 'перепрофилировать', 'морг', 'врач', 'лечиться', 'внебольничный', 'ковид', 'медсестра', 'протекать', 'стационар', 'джонсон', 'реанимация', 'пациент', 'клинический', 'медперсонал', 'диагноз', 'медик', 'отделение', 'койка', 'кашель', 'палата', 'лечение', 'рак', 'температура', 'выписывать', 'беременный', 'здоровый', 'анализ', 'больничный', 'больной', 'поликлиника', 'вылечивать', 'боль', 'короновирус', 'медработник', 'орит', 'острый', 'пациентка', 'помещать', 'больница', 'переболеть', 'легкий', 'госпиталь', 'симптом', 'признак', 'подозрение', 'тяжелый']",14,Disease Treatment
2,"['грипп', 'вирус', 'организм', 'кашель', 'температура', 'препарат', 'маска', 'иммунитет', 'легкое', 'иммунный', 'симптом', 'боль', 'кислород', 'поверхность', 'вирусный', 'рука', 'легкий', 'кровь', 'заболевание', 'болезнь', 'пневмония', 'антибиотик', 'горло', 'сухой', 'мыло', 'лекарство', 'переболеть', 'клетка', 'тело', 'респираторный', 'носить', 'болеть', 'жидкость', 'протекать', 'мытье', 'гидроксихлорохин', 'лечение', 'средство', 'высокий', 'бактерия', 'тяжелый', 'обычный', 'спирт', 'пациент', 'мочь', 'головной', 'бактериальный', 'день', 'размножаться', 'альвеола']","['почка', 'ген', 'слой', 'кровь', 'вышка', 'поверхность', 'спектр', 'sars', 'белок', 'бактерия', 'вирус', 'ткань', 'витамин', 'тип', 'клетка', 'жидкость', 'мозг', 'чихание', 'воздух', 'тело', 'животное', 'патоген', 'растение', 'рецептор', 'размножаться', 'передаваться', 'бодрствование', 'поражать', 'проникновение', 'доза', 'тромбообразование', 'капля', 'противовирусный', 'иммунитет', 'мышь', 'атмосфера', 'малярийный', 'отход', 'cov', 'микроорганизм', 'организм', 'кошка', 'mers', 'головной', 'гликопротеин', 'альвеола', 'ротовой', 'антитело', 'геном', 'плазмодий', 'вирусный', 'расширяться', 'влажность', 'деление', 'мембрана', 'летучий', 'панголин', 'респираторный', 'обладать', 'коронка', 'полость', 'ncov', 'оболочка', 'проникать', 'клеточный', 'мутировать', 'иммунный', 'легочный', 'сходство', 'генетический', 'вес', 'везикл', 'эритроцит', 'передача', 'частота', 'энергия', 'антибиотик', 'комбинация', 'загадка', 'бактериальный', 'паразит', 'рнк', 'частица']",13,COVID chemistry
3,"['маска', 'магазин', 'дом', 'день', 'улица', 'карантин', 'сидеть', 'дома', 'ходить', 'выходить', 'закрывать', 'работать', 'продукт', 'город', 'купить', 'ребенок', 'неделя', 'аптека', 'ехать', 'рука', 'машина', 'гулять', 'туалетный', 'утро', 'сегодня', 'бумага', 'жить', 'квартира', 'друг', 'оставаться', 'ездить', 'метр', 'думать', 'домой', 'мама', 'поезд', 'знать', 'время', 'метро', 'работа', 'муж', 'перчатка', 'очень', 'место', 'дистанция', 'гречка', 'сказать', 'стена', 'заказывать', 'лес']","['завод', 'закрытый', 'дорога', 'борисполь', 'карета', 'переулок', 'двор', 'транспорт', 'парикмахерская', 'красный', 'пробка', 'река', 'улица', 'ворота', 'офис', 'закрывать', 'вход', 'куршевель', 'приезжий', 'красота', 'магазин', 'садовый', 'тц', 'отель', 'пруд', 'помещение', 'улочка', 'сад', 'морской', 'салон', 'аэропорт', 'оттуда', 'ферма', 'метрополитен', 'свободно', 'маршрут', 'лагерь', 'стройка', 'метро', 'прогулка', 'подъезд', 'автомобиль', 'закрываться', 'ресторан', 'метр', 'пустой', 'книжный', 'турин', 'санаторий', 'площадка', 'пляж', 'прадо', 'павильон', 'мост', 'толпа', 'зал', 'лес', 'набережная', 'турист', 'поезд', 'синдзюк', 'гостиница', 'располагаться', 'брайтон', 'кафе', 'дверь', 'троллейбус', 'машина', 'окно', 'железнодорожный', 'пустынный', 'трущоба', 'городок', 'парк', 'пикет', 'курорт', 'город', 'стадион', 'гроб', 'оранжевый', 'микрорайон', 'такси', 'площадь', 'кофейня', 'станция', 'замок', 'пассажир', 'здание', 'мимо']",6,Locations
4,"['бесплатный', 'онлайн', 'игра', 'канал', 'книга', 'поделиться', 'видео', 'доступ', 'компьютер', 'блог', 'сайт', 'подписываться', 'мара', 'обучение', 'фильм', 'пользователь', 'комментарий', 'пожаловаться', 'музей', 'английский', 'конкурентный', 'ссылка', 'просмотр', 'сериал', 'мобильный', 'олимпийский', 'yushchuk', 'дистанционный', 'продажа', 'виртуальный', 'чат', 'занятие', 'проект', 'олимпиада', 'преподаватель', 'искусство', 'матч', 'школа', 'открывать', 'токио', 'телефон', 'промокод', 'сборная', 'bank', 'издательство', 'валя', 'читать', 'code', 'компания', 'работа']","['олимпиада', 'онлайн', 'валентин', 'профессия', 'обучение', 'учитель', 'математика', 'спортсмен', 'субботник', 'музей', 'музыкальный', 'формат', 'сборная', 'лекция', 'дискотека', 'отдых', 'музыка', 'слепой', 'сессия', 'футболист', 'театр', 'путешествие', 'лига', 'встреча', 'олимпийский', 'курсы', 'матч', 'библиотека', 'задание', 'виртуальный', 'турнир', 'игрок', 'тренировка', 'тренироваться', 'занятие', 'детский', 'спектакль', 'искусство', 'школьник', 'преподаватель', 'тур', 'музыкант', 'культура', 'флешмоб', 'вебинар', 'футбол', 'дистанционный', 'вебки', 'развлечение', 'вуз', 'конкурс', 'класс', 'кино', 'студент', 'секс', 'трансляция', 'школа', 'зритель', 'фестиваль', 'английский', 'концерт', 'образовательный', 'выставка', 'ученик', 'образование', 'кинотеатр', 'играть', 'чемпионат', 'клуб', 'игра', 'футбольный', 'сеанс', 'егэ', 'спорт', 'урок', 'учебный', 'тренировочный']",22,Lockdown activities
5,"['россия', 'италия', 'военный', 'помощь', 'российский', 'итальянский', 'войско', 'самолет', 'путин', 'ес', 'борьба', 'санкция', 'рф', 'нато', 'гуманитарный', 'страна', 'оборона', 'итальянец', 'москва', 'военнослужащий', 'специалист', 'оборудование', 'крым', 'русский', 'учение', 'техника', 'рим', 'европа', 'оказывать', 'вирусолог', 'минобороны', 'la', 'кремль', 'европейский', 'вооруженный', 'китай', 'новосибирск', 'ил', 'stampa', 'сила', 'оккупировать', 'сирия', 'группировка', 'заявлять', 'помогать', 'бактериологический', 'мо', 'эхо', 'маска', 'эрдоган']","['европа', 'франция', 'британия', 'таджикистан', 'кндр', 'канада', 'иран', 'провинция', 'эстония', 'королевство', 'сербия', 'ирландия', 'беларусь', 'кубинский', 'украинец', 'испания', 'южный', 'колумбия', 'ес', 'прибывать', 'швеция', 'сирия', 'саудовский', 'австрия', 'республика', 'европейский', 'нидерланды', 'куба', 'турция', 'монголия', 'латинский', 'заробитчанин', 'рубеж', 'грузия', 'страна', 'северный', 'словакия', 'азербайджан', 'азия', 'север', 'китай', 'великобритания', 'лондон', 'латвия', 'кипр', 'германия', 'нато', 'индийский', 'африка', 'авианосец', 'япония', 'корея', 'куб', 'донбасс', 'белоруссия', 'италия', 'украина', 'узбекистан', 'остров', 'финляндия', 'бразилия', 'чехия', 'иностранец', 'кейс', 'бельгия', 'америка', 'кнр', 'россия', 'родина', 'граница', 'армения', 'штат', 'сша', 'индия', 'аравия', 'польша', 'рим']",2,Countries
6,"['украина', 'украинский', 'киев', 'зеленский', 'депутат', 'украинец', 'аваков', 'лечиться', 'александровский', 'лукашенко', 'гривна', 'киевский', 'куршевель', 'донбасс', 'экспресс', 'мвф', 'сбу', 'заробитчанин', 'область', 'шахов', 'миллиардер', 'слуга', 'инфекционный', 'олигарх', 'вип', 'донецк', 'коломойский', 'президент', 'майдан', 'ходос', 'народный', 'дефолт', 'порошенко', 'государственный', 'глава', 'сессия', 'рада', 'шендерович', 'хмельницкий', 'страна', 'граница', 'состояние', 'борисполь', 'эдуард', 'харьковский', 'куршевелец', 'власть', 'хорошковский', 'мент', 'собираться']","['элита', 'илларионов', 'критика', 'преступный', 'михалков', 'партия', 'российский', 'скандал', 'конспирология', 'порошенко', 'кургинян', 'итальянский', 'бунт', 'теория', 'американский', 'путинский', 'либеральный', 'очередной', 'авторитарный', 'канцлер', 'идея', 'аваков', 'избранный', 'противостояние', 'шведский', 'кс', 'прорыв', 'недовольство', 'вашингтон', 'путин', 'критиковать', 'политик', 'причастный', 'народный', 'всемирный', 'мнение', 'бла', 'демократ', 'демократия', 'обвинять', 'чиновник', 'союзник', 'эрдоган', 'слово', 'билл', 'конспиролог', 'сорос', 'истерия', 'лукашенко', 'разоблачать', 'отставка', 'михалкова', 'меркель', 'кремль', 'бесогон', 'лидер', 'пекин', 'некомпетентный', 'американец', 'сми', 'олигарх', 'событие', 'кандидат', 'воз', 'выступление', 'чипирование', 'халатность', 'информационный', 'сенатор', 'заговор', 'разговор', 'гейтс', 'дезинформация', 'украинский', 'белорусский', 'политика', 'коррупция', 'белый', 'коломойский', 'кремлевский', 'кампания', 'выборы', 'влиятельный', 'либерал', 'батька', 'утверждение', 'трамп', 'заявление', 'дональд', 'повод', 'пропаганда', 'санкция', 'послание', 'слуга', 'афера', 'зеленский', 'президент', 'расследование', 'ругать', 'популизм', 'сообщество', 'греф', 'нация', 'политический']",19,"Politics, Conspirology"
7,"['сша', 'экономика', 'кризис', 'экономический', 'трамп', 'мировой', 'год', 'американский', 'нефть', 'доллар', 'глобальный', 'цена', 'страна', 'национальный', 'мир', 'война', 'ядерный', 'пандемия', 'финансовый', 'рынок', 'американец', 'америка', 'государство', 'европейский', 'штат', 'оружие', 'лидер', 'новый', 'президент', 'дональд', 'приводить', 'газ', 'крах', 'саммит', 'капитализм', 'правительство', 'аналитик', 'европа', 'рецессия', 'демократ', 'система', 'фрс', 'вооружение', 'вашингтон', 'газпром', 'демократия', 'кндр', 'глобализация', 'экспорт', 'золото']","['финансовый', 'хаос', 'цена', 'безработица', 'доллар', 'сектор', 'рецессия', 'экспорт', 'капитал', 'государство', 'дефицит', 'акция', 'международный', 'катастрофа', 'рынок', 'недвижимость', 'газпром', 'богатый', 'фонд', 'дефолт', 'банкротство', 'глобализация', 'инвестор', 'отрасль', 'сфера', 'бедность', 'фон', 'финансирование', 'экономический', 'газ', 'компания', 'капитализм', 'аналитик', 'торговля', 'мировой', 'нефтяной', 'миллиард', 'золото', 'экономика', 'нефть', 'глобальный', 'резервный', 'крупный', 'фрс', 'потребление', 'вклад', 'производство', 'энергетический', 'торговый', 'государственный', 'потеря', 'крах', 'резерв', 'мвф', 'туризм', 'оптимизация', 'стабильность', 'отечественный', 'спрос', 'миллиардер', 'бизнес', 'падение', 'млрд', 'кризис']",11,Financial crisis
8,"['бизнес', 'налог', 'путин', 'доход', 'зарплата', 'компания', 'выплата', 'кредит', 'поддержка', 'малый', 'предприятие', 'нерабочий', 'мера', 'гражданин', 'обращение', 'банк', 'каникулы', 'работа', 'ставка', 'предлагать', 'президент', 'рубль', 'налоговый', 'работодатель', 'выходной', 'работник', 'отсрочка', 'средний', 'пособие', 'неделя', 'голосование', 'страна', 'платить', 'получать', 'безработица', 'деньги', 'месяц', 'расход', 'оплата', 'вклад', 'отрасль', 'выплачивать', 'банкротство', 'плата', 'россия', 'дивиденд', 'льгота', 'работать', 'карантин', 'платеж']","['невыплата', 'оплата', 'обслуживание', 'клиент', 'малый', 'отпуск', 'тенге', 'сбербанк', 'авиакомпания', 'предприятие', 'арендный', 'работник', 'взыскание', 'отсрочка', 'оплачивать', 'абонемент', 'зарабатывать', 'налог', 'ставка', 'кредитный', 'размер', 'кредит', 'увольнять', 'аренда', 'тариф', 'руб', 'зарплата', 'заработный', 'бизнесмен', 'выручка', 'работодатель', 'безработный', 'услуга', 'потратить', 'жидомор', 'каникулы', 'пожизненный', 'бюджетный', 'жкх', 'заплатить', 'пособие', 'предложение', 'платить', 'надбавка', 'мигрант', 'льгота', 'жилье', 'нерабочий', 'выплата', 'платеж', 'реновация', 'труд', 'частный', 'субсидия', 'доплата', 'работа', 'расход', 'риэлтор', 'временно', 'деньги', 'предлагать', 'поддержка', 'банк', 'рабочий', 'арендодатель', 'рубль', 'евро', 'гривна', 'плата', 'выплачивать', 'рассчитывать', 'предприниматель', 'дивиденд', 'арендатор', 'доход', 'бюджет', 'обещать', 'налоговый', 'владелец']",21,Financial aid & Credit offers
9,"['март', 'область', 'гражданин', 'режим', 'организация', 'распространение', 'нарушение', 'также', 'мера', 'чрезвычайный', 'штраф', 'ограничение', 'указ', 'федерация', 'территория', 'орган', 'москва', 'безопасность', 'работа', 'введение', 'вводить', 'необходимость', 'московский', 'лицо', 'связь', 'срок', 'правило', 'коронавирусный', 'санитарный', 'российский', 'запрет', 'общественный', 'ответственность', 'услуга', 'инфекция', 'комендантский', 'постановление', 'деятельность', 'карантин', 'распоряжение', 'правительство', 'предотвращение', 'обеспечение', 'власть', 'медицинский', 'случай', 'лишение', 'год', 'объект', 'россия']","['перечень', 'карантин', 'поправка', 'гражданин', 'силовик', 'домашний', 'положение', 'житель', 'чп', 'распоряжение', 'общественный', 'фсин', 'комендантский', 'митинг', 'указ', 'вывоз', 'кабмин', 'полиция', 'ношение', 'запрет', 'контроль', 'карательный', 'закон', 'обязанность', 'карантинный', 'полицейский', 'информирование', 'скопление', 'конституционный', 'суд', 'свобода', 'лишение', 'требовать', 'пункт', 'добровольный', 'территория', 'москвич', 'штраф', 'дистанция', 'роспотребнадзор', 'соблюдение', 'обращение', 'правонарушение', 'протест', 'всеобщий', 'право', 'собянин', 'введение', 'выезд', 'ограничение', 'уголовный', 'мероприятие', 'передвижение', 'заключенный', 'лицо', 'инструкция', 'федерация', 'мэр', 'запрещать', 'рекомендация', 'въезд', 'соответствие', 'конституция', 'ограничительный', 'жесткий', 'предосторожность', 'штрафовать', 'ответственность', 'исполнение', 'призыв', 'подчиняться', 'требование', 'нарушение', 'отказ', 'нарушитель', 'эпидемиологический', 'постановление', 'правительство', 'блокировка', 'регион', 'правило', 'административный', 'самоизоляция', 'проверка', 'масочный', 'вводиться', 'резидент', 'безответственно', 'наказывать', 'пропускной', 'рф', 'потребовать', 'носить', 'горожанин', 'рекомендовать', 'ограничивать', 'вводить', 'санитарный', 'мера', 'разрешать', 'коап', 'подписывать', 'преступление', 'насилие', 'нарушать', 'изоляция', 'режим', 'дистанцирование', 'обязывать', 'норма', 'повышенный', 'власть', 'безопасность', 'обязательный', 'призывать', 'посещение', 'губернатор', 'чрезвычайный', 'соблюдать', 'кодекс', 'временный', 'порядок']",5,Measures & Law
